,category,mask_name,mean,sd,subid,type,group
0,face,lh-inferiorparietal,0.836820925553,0.00824949698189,ap100,f1 score,control
2,object,lh-inferiorparietal,0.638430583501,0.0187122736419,ap100,f1 score,control
4,place,lh-inferiorparietal,0.821600771456,0.00192864030858,ap100,f1 score,control
6,face,lh-inferiorparietal,0.890873015873,0.0297619047619,ap101,f1 score,control
8,object,lh-inferiorparietal,0.850241545894,0.0386473429952,ap101,f1 score,control
10,place,lh-inferiorparietal,0.898717948718,0.0679487179487,ap101,f1 score,control
12,face,lh-inferiorparietal,0.859440142942,0.0101250744491,ap102,f1 score,control
14,object,lh-inferiorparietal,0.678947368421,0.0210526315789,ap102,f1 score,control
16,place,lh-inferiorparietal,0.883116883117,0.025974025974,ap102,f1 score,control
18,face,lh-inferiorparietal,0.72601010101,0.0315656565657,ap103,f1 score,control
20,object,lh-inferiorparietal,0.612355212355,0.0447876447876,ap103,f1 score,control
22,place,lh-inferiorparietal,0.742465753425,0.0575342465753,ap103,f1 score,control
24,face,lh-inferiorparietal,0.796709753231,0.0141010575793,ap104,f1 score,control
26,object,lh-inferiorparietal,0.526842212696,0.121045111247,ap104,f1 score,control
28,place,lh-inferiorparietal,0.86283891547,0.0143540669856,ap104,f1 score,control
30,face,lh-inferiorparietal,0.814285714286,0.0142857142857,ap105,f1 score,control
32,object,lh-inferiorparietal,0.700980392157,0.0343137254902,ap105,f1 score,control
34,place,lh-inferiorparietal,0.836654213367,0.0421336654213,ap105,f1 score,control
36,face,lh-inferiorparietal,0.873932896565,0.0246178280723,ap107,f1 score,control
38,object,lh-inferiorparietal,0.85036119711,0.0268317853457,ap107,f1 score,control
40,place,lh-inferiorparietal,0.828125,0.109375,ap107,f1 score,control
42,face,lh-inferiorparietal,0.812181746964,0.0283979631806,ap108,f1 score,control
44,object,lh-inferiorparietal,0.633612485725,0.0420631899505,ap108,f1 score,control
46,place,lh-inferiorparietal,0.775156475686,0.000962927298989,ap108,f1 score,control
48,face,lh-inferiorparietal,0.783841940532,0.0893974960876,ap109,f1 score,control
50,object,lh-inferiorparietal,0.695798319328,0.0100840336134,ap109,f1 score,control
52,place,lh-inferiorparietal,0.666790077749,0.0181414291003,ap109,f1 score,control
54,face,lh-inferiorparietal,0.818608621426,0.0298762270593,ap110,f1 score,control
56,object,lh-inferiorparietal,0.685635123615,0.0679880647911,ap110,f1 score,control
58,place,lh-inferiorparietal,0.81218487395,0.040756302521,ap110,f1 score,control
60,face,lh-inferiorparietal,0.750377073906,0.0444947209653,ap111,f1 score,control
62,object,lh-inferiorparietal,0.719277347628,0.0343458407782,ap111,f1 score,control
64,place,lh-inferiorparietal,0.886928991407,0.0384441429218,ap111,f1 score,control
66,face,lh-inferiorparietal,0.79661971831,0.0766197183099,ap113,f1 score,control
68,object,lh-inferiorparietal,0.733738713838,0.0423806891469,ap113,f1 score,control
70,place,lh-inferiorparietal,0.872003618272,0.0235187697874,ap113,f1 score,control
72,face,lh-inferiorparietal,0.7405618964,0.0241439859526,ap114,f1 score,control
74,object,lh-inferiorparietal,0.759725400458,0.0228832951945,ap114,f1 score,control
76,place,lh-inferiorparietal,0.87922705314,0.00966183574879,ap114,f1 score,control
78,face,lh-inferiorparietal,0.855213089802,0.00589802130898,ap115,f1 score,control
80,object,lh-inferiorparietal,0.770394602331,0.0241259456144,ap115,f1 score,control
82,place,lh-inferiorparietal,0.789522058824,0.0542279411765,ap115,f1 score,control
84,face,lh-inferiorparietal,0.813788201848,0.0518834399431,ap116,f1 score,control
86,object,lh-inferiorparietal,0.646766169154,0.0199004975124,ap116,f1 score,control
88,place,lh-inferiorparietal,0.795587280986,0.0999351070733,ap116,f1 score,control
90,face,lh-inferiorparietal,0.834782608696,0.0347826086957,ap117,f1 score,control
92,object,lh-inferiorparietal,0.794567404427,0.0340040241449,ap117,f1 score,control
94,place,lh-inferiorparietal,0.832026609646,0.0204324067474,ap117,f1 score,control
96,face,lh-inferiorparietal,0.772087067862,0.044814340589,ap118,f1 score,control
98,object,lh-inferiorparietal,0.746825396825,0.0246031746032,ap118,f1 score,control
100,place,lh-inferiorparietal,0.86449795082,0.0207479508197,ap118,f1 score,control
102,face,lh-inferiorparietal,0.922056384743,0.0331674958541,ap119,f1 score,control
104,object,lh-inferiorparietal,0.893137254902,0.0401960784314,ap119,f1 score,control
106,place,lh-inferiorparietal,0.880597014925,0.0149253731343,ap119,f1 score,control
108,face,lh-inferiorparietal,0.751307847082,0.0655935613682,ap120,f1 score,control
110,object,lh-inferiorparietal,0.861538461538,0.0307692307692,ap120,f1 score,control
112,place,lh-inferiorparietal,0.886788048553,0.0338468720822,ap120,f1 score,control
114,face,lh-inferiorparietal,0.671948356808,0.0886150234742,ap121,f1 score,control
116,object,lh-inferiorparietal,0.810924369748,0.046218487395,ap121,f1 score,control
118,place,lh-inferiorparietal,0.793884220355,0.000233426704015,ap121,f1 score,control
120,face,lh-inferiorparietal,0.703968253968,0.018253968254,ap122,f1 score,control
122,object,lh-inferiorparietal,0.670144927536,0.0834782608696,ap122,f1 score,control
124,place,lh-inferiorparietal,0.814075630252,0.078781512605,ap122,f1 score,control
126,face,lh-inferiorparietal,0.671351351351,0.0313513513514,ap150,f1 score,stress
128,object,lh-inferiorparietal,0.583333333333,0.0833333333333,ap150,f1 score,stress
130,place,lh-inferiorparietal,0.837686567164,0.0876865671642,ap150,f1 score,stress
132,face,lh-inferiorparietal,0.83069828722,0.0480895915679,ap152,f1 score,stress
134,object,lh-inferiorparietal,0.666449228093,0.0637095020657,ap152,f1 score,stress
136,place,lh-inferiorparietal,0.768318965517,0.0441810344828,ap152,f1 score,stress
138,face,lh-inferiorparietal,0.779364049319,0.00324464633355,ap153,f1 score,stress
140,object,lh-inferiorparietal,0.694567404427,0.0659959758551,ap153,f1 score,stress
142,place,lh-inferiorparietal,0.722260273973,0.0722602739726,ap153,f1 score,stress
144,face,lh-inferiorparietal,0.761162296244,0.0623671155209,ap154,f1 score,stress
146,object,lh-inferiorparietal,0.664697864607,0.0449795547478,ap154,f1 score,stress
148,place,lh-inferiorparietal,0.857078245138,0.0085933966531,ap154,f1 score,stress
150,face,lh-inferiorparietal,0.69718969555,0.0742388758782,ap155,f1 score,stress
152,object,lh-inferiorparietal,0.725247004415,0.0210216523019,ap155,f1 score,stress
154,place,lh-inferiorparietal,0.77780720339,0.0659427966102,ap155,f1 score,stress
156,face,lh-inferiorparietal,0.885221778432,0.0401513558966,ap157,f1 score,stress
158,object,lh-inferiorparietal,0.856060606061,0.0227272727273,ap157,f1 score,stress
160,place,lh-inferiorparietal,0.924603174603,0.00396825396825,ap157,f1 score,stress
162,face,lh-inferiorparietal,0.711711711712,0.045045045045,ap158,f1 score,control
164,object,lh-inferiorparietal,0.704649232046,0.0076795350768,ap158,f1 score,control
166,place,lh-inferiorparietal,0.812181746964,0.0283979631806,ap158,f1 score,control
168,face,lh-inferiorparietal,0.747510668563,0.0633001422475,ap159,f1 score,stress
170,object,lh-inferiorparietal,0.771409749671,0.0467720685112,ap159,f1 score,stress
172,place,lh-inferiorparietal,0.820289855072,0.0202898550725,ap159,f1 score,stress
174,face,lh-inferiorparietal,0.849318131008,0.0239213056114,ap160,f1 score,stress
176,object,lh-inferiorparietal,0.868227424749,0.085618729097,ap160,f1 score,stress
178,place,lh-inferiorparietal,0.910192444761,0.0406272273699,ap160,f1 score,stress
180,face,lh-inferiorparietal,0.75873827792,0.0528559249787,ap161,f1 score,stress
182,object,lh-inferiorparietal,0.621798689696,0.0738534842168,ap161,f1 score,stress
184,place,lh-inferiorparietal,0.876893939394,0.00189393939394,ap161,f1 score,stress
186,face,lh-inferiorparietal,0.57935673744,0.0121925583351,ap162,f1 score,stress
188,object,lh-inferiorparietal,0.616013071895,0.0604575163399,ap162,f1 score,stress
190,place,lh-inferiorparietal,0.790043290043,0.0281385281385,ap162,f1 score,stress
192,face,lh-inferiorparietal,0.778378378378,0.0216216216216,ap163,f1 score,stress
194,object,lh-inferiorparietal,0.743923240938,0.0275053304904,ap163,f1 score,stress
196,place,lh-inferiorparietal,0.922337465216,0.0268150771566,ap163,f1 score,stress
198,face,lh-inferiorparietal,0.789403085178,0.027498323273,ap164,f1 score,stress
200,object,lh-inferiorparietal,0.747217806041,0.0174880763116,ap164,f1 score,stress
202,place,lh-inferiorparietal,0.759523809524,0.0738095238095,ap164,f1 score,stress
204,face,lh-inferiorparietal,0.833976833977,0.023166023166,ap165,f1 score,stress
206,object,lh-inferiorparietal,0.843297101449,0.0317028985507,ap165,f1 score,stress
208,place,lh-inferiorparietal,0.878177966102,0.00317796610169,ap165,f1 score,stress
210,face,lh-inferiorparietal,0.758771929825,0.0745614035088,ap166,f1 score,stress
212,object,lh-inferiorparietal,0.735294117647,0.117647058824,ap166,f1 score,stress
214,place,lh-inferiorparietal,0.657190635452,0.0674470457079,ap166,f1 score,stress
216,face,lh-inferiorparietal,0.750812567714,0.0184182015168,ap167,f1 score,stress
218,object,lh-inferiorparietal,0.592844600527,0.034021071115,ap167,f1 score,stress
220,place,lh-inferiorparietal,0.871777476255,0.0535956580733,ap167,f1 score,stress
222,face,lh-inferiorparietal,0.564285714286,0.0642857142857,ap168,f1 score,stress
224,object,lh-inferiorparietal,0.331262939959,0.0455486542443,ap168,f1 score,stress
226,place,lh-inferiorparietal,0.699921752739,0.0888106416275,ap168,f1 score,stress
228,face,lh-inferiorparietal,0.796825396825,0.0031746031746,ap169,f1 score,stress
230,object,lh-inferiorparietal,0.648094449047,0.0283761391881,ap169,f1 score,stress
232,place,lh-inferiorparietal,0.758942161339,0.0466133942161,ap169,f1 score,stress
234,face,lh-inferiorparietal,0.707473556442,0.0773365701405,ap170,f1 score,stress
236,object,lh-inferiorparietal,0.714006259781,0.10289514867,ap170,f1 score,stress
238,place,lh-inferiorparietal,0.838014527845,0.00944309927361,ap170,f1 score,stress
240,face,lh-inferiorparietal,0.805590062112,0.0229813664596,ap171,f1 score,stress
242,object,lh-inferiorparietal,0.606719367589,0.0309617918314,ap171,f1 score,stress
244,place,lh-inferiorparietal,0.811545988258,0.0170254403131,ap171,f1 score,stress
246,face,lh-inferiorparietal,0.6663003663,0.0765567765568,ap172,f1 score,stress
248,object,lh-inferiorparietal,0.814285714286,0.0142857142857,ap172,f1 score,stress
250,place,lh-inferiorparietal,0.715749039693,0.01152368758,ap172,f1 score,stress
252,face,lh-inferiorparietal,0.716417910448,0.0597014925373,ap173,f1 score,stress
254,object,lh-inferiorparietal,0.684901960784,0.00843137254902,ap173,f1 score,stress
256,place,lh-inferiorparietal,0.715351812367,0.00106609808102,ap173,f1 score,stress
258,face,lh-inferiorparietal,0.822723609992,0.000805801772764,ap174,f1 score,stress
260,object,lh-inferiorparietal,0.642369991475,0.00468883205456,ap174,f1 score,stress
262,place,lh-inferiorparietal,0.764590964591,0.0661782661783,ap174,f1 score,stress
