,subid,group,cond,run,trial,onset,duration,acc,respRT,duration_adj,onset_adj
0,loc100,control,face,2.0,50.0,121.5567,1.3919,1.0,0.5662,0.3919,109.5567
1,loc100,control,object,2.0,40.5,98.3794,1.38305,1.0,0.60555,0.38305,86.3794
2,loc100,control,place,2.0,76.0,178.573,1.377,1.0,0.6337,0.377,166.573
3,loc101,control,face,2.0,82.0,196.6548,1.3625,1.0,0.5857,0.3625,184.6548
4,loc101,control,object,2.0,38.5,95.3854,1.37505,1.0,0.6101,0.37505,83.3854
5,loc101,control,place,2.0,66.0,159.1226,1.38285,1.0,0.61785,0.38285,147.1226
6,loc102,control,face,1.0,80.5,194.43825,1.395,1.0,0.50965,0.395,182.43825
7,loc102,control,object,2.0,46.5,116.3746,1.3915,1.0,0.5113,0.3915,104.3746
8,loc102,control,place,1.0,78.0,190.6043,1.3823,1.0,0.5332,0.3823,178.6043
9,loc103,control,face,2.0,56.0,139.5853,1.3916,1.0,0.7109,0.3916,127.5853
10,loc103,control,object,1.0,93.0,222.1578,1.3578,1.0,0.8345,0.3578,210.1578
11,loc103,control,place,2.0,49.0,120.0556,1.382,1.0,0.8722,0.382,108.0556
12,loc104,control,face,2.0,71.5,171.8723,1.3891,1.0,0.53995,0.3891,159.8723
13,loc104,control,object,2.0,46.0,115.5766,1.3811,1.0,0.6202,0.3811,103.5766
14,loc104,control,place,2.0,89.0,216.2296,1.3721,1.0,0.6574,0.3721,204.2296
15,loc105,control,face,2.0,64.0,151.5624,1.3769,1.0,0.5576,0.3769,139.5624
16,loc105,control,object,2.0,68.0,166.7073,1.3825,1.0,0.5836,0.3825,154.7073
17,loc105,control,place,1.0,54.0,127.5563,1.3984,1.0,0.5922,0.3984,115.5563
18,loc106,control,face,2.0,69.0,168.2202,1.353,1.0,0.6085,0.353,156.2202
19,loc106,control,object,2.0,91.0,219.10215,1.37845,1.0,0.70095,0.37845,207.10215
20,loc106,control,place,2.0,40.5,98.30285,1.3871,1.0,0.6887,0.3871,86.30285
21,loc107,control,face,1.0,64.0,151.5627,1.3932,1.0,0.4427,0.3932,139.5627
22,loc107,control,object,1.0,75.0,177.0683,1.3908,1.0,0.538,0.3908,165.0683
23,loc107,control,place,1.0,48.5,119.3855,1.39885,1.0,0.55525,0.39885,107.3855
24,loc108,control,face,2.0,81.0,195.1525,1.3661,1.0,0.5747,0.3661,183.1525
25,loc108,control,object,2.0,90.5,218.3501,1.37405,1.0,0.5832,0.37405,206.3501
26,loc108,control,place,1.5,33.5,83.29885,1.3854,1.0,0.605,0.3854,71.29885
27,loc109,control,face,1.0,46.0,115.5812,1.4337,1.0,0.4386,0.4337,103.5812
28,loc109,control,object,1.0,64.0,151.65125,1.3772,1.0,0.5313,0.3772,139.65125
29,loc109,control,place,1.0,75.0,177.1589,1.408,1.0,0.5217,0.408,165.1589
30,loc110,control,face,2.0,44.5,108.80955,1.39245,1.0,0.56105,0.39245,96.80955
31,loc110,control,object,2.0,63.0,150.1419,1.3714,1.0,0.6384,0.3714,138.1419
32,loc110,control,place,2.0,93.5,222.84695,1.3836,1.0,0.6415,0.3836,210.84695
33,loc111,control,face,1.5,43.0,102.09125,1.3847,1.0,0.53365,0.3847,90.09125
34,loc111,control,object,1.0,67.0,165.2099,1.3941,1.0,0.5188,0.3941,153.2099
35,loc111,control,place,1.5,78.5,191.3583,1.37185,1.0,0.55385,0.37185,179.3583
36,loc113,control,face,2.0,44.0,108.001,1.4997,1.0,0.61375,0.4997,96.001
37,loc113,control,object,1.0,63.0,150.0009,1.4997,1.0,0.6833,0.4997,138.0009
38,loc113,control,place,2.0,93.0,222.0003,1.4997,1.0,0.6892,0.4997,210.0003
39,loc114,control,face,1.0,78.0,190.5007,1.4996,1.0,0.472,0.4996,178.5007
40,loc114,control,object,2.0,64.0,151.5014,1.4997,1.0,0.5054,0.4997,139.5014
41,loc114,control,place,2.0,47.0,117.0018,1.4997,1.0,0.5253,0.4997,105.0018
42,loc115,control,face,1.0,81.0,195.0005,1.4998,1.0,0.4649,0.4998,183.0005
43,loc115,control,object,2.0,67.0,165.0012,1.4998,1.0,0.5212,0.4998,153.0012
44,loc115,control,place,2.0,77.0,184.50085,1.4998,1.0,0.5332,0.4998,172.50085
45,loc116,control,face,2.0,63.5,150.75075,1.49965,1.0,0.4422,0.49965,138.75075
46,loc116,control,object,1.0,92.0,220.5011,1.4997,1.0,0.4792,0.4997,208.5011
47,loc116,control,place,2.0,42.0,100.5014,1.4997,1.0,0.4891,0.4997,88.5014
48,loc117,control,face,1.0,92.0,220.5005,1.4999,1.0,0.4204,0.4999,208.5005
49,loc117,control,object,2.0,68.5,167.25145,1.4996,1.0,0.4789,0.4996,155.25145
50,loc117,control,place,2.0,61.0,147.0008,1.4996,1.0,0.4652,0.4996,135.0008
51,loc118,control,face,2.0,64.0,151.5004,1.4997,1.0,0.4594,0.4997,139.5004
52,loc118,control,object,1.0,32.0,76.501,1.4996,1.0,0.5084,0.4996,64.501
53,loc118,control,place,2.0,92.0,220.5014,1.4998,1.0,0.4946,0.4998,208.5014
54,loc119,control,face,1.5,60.5,146.2515,1.4997,1.0,0.63075,0.4997,134.2515
55,loc119,control,object,2.0,82.5,197.2512,1.4997,1.0,0.71535,0.4997,185.2512
56,loc119,control,place,1.5,49.5,120.75125,1.4998,1.0,0.6907,0.4998,108.75125
57,loc120,control,face,2.0,66.0,159.00055,1.4999,1.0,0.4661,0.4999,147.00055
58,loc120,control,object,2.0,43.0,102.0014,1.4996,1.0,0.4903,0.4996,90.0014
59,loc120,control,place,1.0,75.0,177.0011,1.4997,1.0,0.5451,0.4997,165.0011
60,loc121,control,face,1.0,45.0,114.001,1.4998,1.0,0.5603,0.4998,102.001
61,loc121,control,object,1.0,63.0,150.0007,1.4996,1.0,0.6653,0.4996,138.0007
62,loc121,control,place,2.0,90.0,217.5004,1.4997,1.0,0.698,0.4997,205.5004
63,loc122,control,face,1.0,52.5,125.2504,1.4998,1.0,0.52095,0.4998,113.2504
64,loc122,control,object,2.0,51.0,123.0007,1.4998,1.0,0.6001,0.4998,111.0007
65,loc122,control,place,2.0,64.0,151.50155,1.49965,1.0,0.6047,0.49965,139.50155
66,loc150,stress,face,1.0,66.0,159.08225,1.3962,1.0,0.58075,0.3962,147.08225
67,loc150,stress,object,1.0,89.0,216.1172,1.3882,1.0,0.6234,0.3882,204.1172
68,loc150,stress,place,1.0,78.0,190.6068,1.3944,1.0,0.6104,0.3944,178.6068
69,loc151,stress,face,2.0,56.0,139.5799,1.3801,1.0,0.5897,0.3801,127.5799
70,loc151,stress,object,1.5,78.0,190.65955,1.3855,1.0,0.6977,0.3855,178.65955
71,loc151,stress,place,2.0,89.0,216.1084,1.3909,1.0,0.7084,0.3909,204.1084
72,loc152,stress,face,1.0,48.0,118.5528,1.4069,1.0,0.3476,0.4069,106.5528
73,loc152,stress,object,1.0,52.0,124.6366,1.4004,1.0,0.4077,0.4004,112.6366
74,loc152,stress,place,1.0,102.5,245.35425,1.3732,1.0,0.3576,0.3732,233.35425
75,loc153,stress,face,2.0,32.0,76.5484,1.3926,1.0,0.6837,0.3926,64.5484
76,loc153,stress,object,1.0,89.0,216.1748,1.3729,1.0,0.7421,0.3729,204.1748
77,loc153,stress,place,2.0,64.0,151.5677,1.3847,1.0,0.7532,0.3847,139.5677
78,loc154,stress,face,2.0,69.0,168.2184,1.3644,1.0,0.6005,0.3644,156.2184
79,loc154,stress,object,2.0,65.0,153.1469,1.3824,1.0,0.6411,0.3824,141.1469
80,loc154,stress,place,2.0,74.0,175.5726,1.3762,1.0,0.6464,0.3762,163.5726
81,loc155,stress,face,2.0,86.0,202.6199,1.36815,1.0,0.62835,0.36815,190.6199
82,loc155,stress,object,2.0,68.0,166.6021,1.3874,1.0,0.6481,0.3874,154.6021
83,loc155,stress,place,2.0,37.0,93.0513,1.382,1.0,0.6371,0.382,81.0513
84,loc156,stress,face,1.0,52.0,124.5598,1.3995,1.0,0.4269,0.3995,112.5598
85,loc156,stress,object,2.0,46.0,115.6997,1.3791,1.0,0.5602,0.3791,103.6997
86,loc156,stress,place,1.0,76.0,178.61365,1.3793,1.0,0.5746,0.3793,166.61365
87,loc157,stress,face,2.0,67.5,165.9677,1.37295,1.0,0.56605,0.37295,153.9677
88,loc157,stress,object,2.0,53.5,126.8916,1.3865,1.0,0.6118,0.3865,114.8916
89,loc157,stress,place,2.0,64.0,151.6468,1.3803,1.0,0.63,0.3803,139.6468
90,loc158,control,face,2.0,60.0,145.5008,1.49965,1.0,0.4497,0.49965,133.5008
91,loc158,control,object,1.0,79.0,192.00185,1.4998,1.0,0.53665,0.4998,180.00185
92,loc158,control,place,1.0,58.0,142.5012,1.4997,1.0,0.5643,0.4997,130.5012
93,loc159,stress,face,1.5,55.0,133.6367,1.3887,1.0,0.3715,0.3887,121.6367
94,loc159,stress,object,2.0,57.5,141.9574,1.3832,1.0,0.42315,0.3832,129.9574
95,loc159,stress,place,2.0,96.0,226.6646,1.34925,1.0,0.5042,0.34925,214.6646
96,loc160,stress,face,2.0,64.0,151.56435,1.37485,1.0,0.22395,0.37485,139.56435
97,loc160,stress,object,1.0,70.0,169.5687,1.3995,1.0,0.2805,0.3995,157.5687
98,loc160,stress,place,1.0,51.5,123.8065,1.41315,1.0,0.2707,0.41315,111.8065
99,loc161,stress,face,2.0,76.5,183.84285,1.3884,1.0,0.6826,0.3884,171.84285
100,loc161,stress,object,1.5,71.5,171.86005,1.37515,1.0,0.78375,0.37515,159.86005
101,loc161,stress,place,2.0,47.5,117.9159,1.38185,1.0,0.7981,0.38185,105.9159
102,loc162,stress,face,2.0,89.5,216.7511,1.4998,1.0,0.4729,0.4998,204.7511
103,loc162,stress,object,1.5,55.0,133.50095,1.49955,1.0,0.5946,0.49955,121.50095
104,loc162,stress,place,2.0,62.0,148.5006,1.4998,1.0,0.5634,0.4998,136.5006
105,loc163,stress,face,1.0,52.0,124.5006,1.4997,1.0,0.5267,0.4997,112.5006
106,loc163,stress,object,2.0,82.5,197.2508,1.49975,1.0,0.547,0.49975,185.2508
107,loc163,stress,place,2.0,69.0,168.0012,1.4998,1.0,0.55825,0.4998,156.0012
108,loc164,stress,face,1.5,94.5,224.25085,1.4998,1.0,0.44375,0.4998,212.25085
109,loc164,stress,object,2.0,60.5,146.25095,1.4997,1.0,0.48495,0.4997,134.25095
110,loc164,stress,place,2.0,37.0,93.0003,1.4997,1.0,0.486,0.4997,81.0003
111,loc165,stress,face,1.5,77.0,184.50095,1.4998,1.0,0.4592,0.4998,172.50095
112,loc165,stress,object,2.0,79.0,192.0022,1.4998,1.0,0.5063,0.4998,180.0022
113,loc165,stress,place,2.0,62.5,149.25105,1.4997,1.0,0.56745,0.4997,137.25105
114,loc166,stress,face,1.5,66.0,159.0005,1.4997,1.0,0.4294,0.4997,147.0005
115,loc166,stress,object,2.0,61.5,147.7509,1.4996,1.0,0.4746,0.4996,135.7509
116,loc166,stress,place,2.0,75.5,177.75085,1.4998,1.0,0.4654,0.4998,165.75085
117,loc167,stress,face,1.0,64.0,151.5015,1.4997,1.0,0.4528,0.4997,139.5015
118,loc167,stress,object,2.0,102.0,244.502,1.4998,1.0,0.5167,0.4998,232.502
119,loc167,stress,place,1.0,49.0,120.00085,1.4997,1.0,0.49665,0.4997,108.00085
120,loc168,stress,face,1.0,58.5,143.25075,1.4997,1.0,0.36325,0.4997,131.25075
121,loc168,stress,object,2.0,65.0,153.0005,1.4999,1.0,0.3605,0.4999,141.0005
122,loc168,stress,place,1.0,71.0,171.0008,1.49965,1.0,0.3726,0.49965,159.0008
123,loc169,stress,face,2.0,80.5,194.25115,1.4997,1.0,0.4596,0.4997,182.25115
124,loc169,stress,object,1.0,89.0,216.0008,1.4996,1.0,0.5243,0.4996,204.0008
125,loc169,stress,place,2.0,57.0,141.0019,1.4997,1.0,0.5089,0.4997,129.0019
126,loc170,stress,face,2.0,64.0,151.501,1.4997,1.0,0.5066,0.4997,139.501
127,loc170,stress,object,2.0,67.0,165.0016,1.4998,1.0,0.5514,0.4998,153.0016
128,loc170,stress,place,2.0,79.0,192.0012,1.4997,1.0,0.5484,0.4997,180.0012
129,loc171,stress,face,1.0,65.0,153.0004,1.4997,1.0,0.4272,0.4997,141.0004
130,loc171,stress,object,1.0,53.0,126.0013,1.4996,1.0,0.4263,0.4996,114.0013
131,loc171,stress,place,1.0,67.0,165.0008,1.4996,1.0,0.4285,0.4996,153.0008
132,loc172,stress,face,2.0,90.0,217.5017,1.4997,1.0,0.431,0.4997,205.5017
133,loc172,stress,object,2.0,53.5,126.75125,1.49975,1.0,0.43495,0.49975,114.75125
134,loc172,stress,place,1.0,74.5,176.2509,1.49975,1.0,0.4437,0.49975,164.2509
135,loc173,stress,face,2.0,62.5,149.25145,1.4996,1.0,0.3695,0.4996,137.25145
136,loc173,stress,object,1.0,78.0,190.5016,1.4996,1.0,0.4164,0.4996,178.5016
137,loc173,stress,place,1.0,73.0,174.0005,1.4998,1.0,0.4329,0.4998,162.0005
138,loc174,stress,face,2.0,38.0,94.5011,1.4998,1.0,0.3585,0.4998,82.5011
139,loc174,stress,object,1.0,71.0,171.0008,1.4998,1.0,0.3951,0.4998,159.0008
140,loc174,stress,place,1.5,64.5,152.2505,1.49985,1.0,0.383,0.49985,140.2505
